Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
speed up shorts high,N,collections/product_customAttribute4/parentCategory_displayName,,10,$68.00,
lululemon 25,Y,product_inseam/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,22,$240.50,
neon shoes,N,sku_colorGroup/product_customAttribute4/parentCategory_displayName,,22,$79.00,
summer glow tops,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,14,$58.00,
sunny coral align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,20,$0.00,
swiftly tech cropped long sleeve shirt 20,N,product_customAttribute4/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter,70,"$1,596.10",
swiftly tech mint,N,sku_colorCodeDesc/collections,,20,$186.00,
teal swiftly tech,N,sku_colorCodeDesc/collections,,16,$0.00,
tennis polo shirt,Y,product_customAttribute4/parentCategory_displayName/product_activity,EnglishMinimalStemFilter,12,$68.00,
pistachio align,N,sku_colorCodeDesc/collections,,19,$44.00,
scuba camo,N,sku_colorCodeDesc/collections,,19,$79.00,
cropped rulu,N,product_topsLength_s/sku_colorCodeDesc/collections,,18,$226.80,
tops size 0,N,sku_size/product_customAttribute4/parentCategory_displayName,,21,$131.00,
train to b,N,sku_size/collections/product_customAttribute4/product_activity,PorterStemFilter,24,$57.80,
license to train lined short 7,N,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,PorterStemFilter/EnglishMinimalStemFilter/PatternReplaceFilter,76,"$2,205.75",
run pants,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,18,$296.15,
twilight rose dress,N,sku_colorCodeDesc/sku_colorGroup_fr/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,17,$148.00,
lulu speed,N,sku_colorCodeDesc/collections,,17,$136.00,
vent tech shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$516.40,
poolside l,N,sku_colorCodeDesc/sku_size,,17,$99.00,
summer dress,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,17,$64.00,
to much,N,collections/parentCategory_displayName,,17,$168.00,
women city,N,collections/parentCategory_displayName/gender,,17,$0.00,
white bike shorts women,N,product_customAttribute4/product_activity/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,,17,$305.00,
lulu hot,N,sku_colorCodeDesc/collections,,16,$57.80,
white full zip,N,sku_colorGroup/sku_colorCodeDesc/sku_size/product_customAttribute4,,18,$148.00,
white swiftly shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,14,$68.00,
wild to be,N,sku_colorCodeDesc/collections,,18,$48.00,
neon too,N,sku_colorGroup/parentCategory_displayName,,15,$39.00,
women train to be tank,N,product_customAttribute4/product_activity/gender/collections/parentCategory_displayName,PorterStemFilter,9,$44.00,
high tide,N,sku_colorCodeDesc/product_customAttribute4,,13,$0.00,
swift tops,N,collections/product_customAttribute4/parentCategory_displayName,,12,$97.00,
tank poolside,N,sku_colorCodeDesc/parentCategory_displayName,,10,$99.90,
wunder leggings 28,Y,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,14,$314.00,
wunder train utility blue,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/sku_colorGroup,PorterStemFilter,19,$0.00,
yoga mat long,N,parentCategory_displayName/product_topsLength_s/product_customAttribute4/product_activity,EnglishMinimalStemFilter,14,$372.00,
"4"" short women",Y,product_inseam/product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,7,$0.00,
5 pocket city,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,24,$635.75,
align 17 in,N,collections/product_inseam,PatternReplaceFilter,16,$528.00,
align bike short 6,N,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,17,$0.00,
align dress black,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter/PorterStemFilter,21,$592.00,
align short classic,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,24,$480.80,
align tank camo,N,sku_colorCodeDesc/collections/parentCategory_displayName,,17,$0.00,
align tank top lip gloss,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,74,"$1,132.40",align tank top lip gloss
athletic shirt women,N,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,22,$0.00,athletic shirts women
base pace pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,8,$0.00,
"bike short 8""",Y,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,10,$39.00,
black align s,N,sku_colorGroup/sku_colorCodeDesc/collections/sku_size,,16,$0.00,
black lined shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,10,$68.00,
black lulu jacket,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,30,$118.00,
black men shirt,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,16,$58.00,
camo align 25,Y,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,23,$726.80,
charged indigo tank,N,sku_colorCodeDesc/parentCategory_displayName,,10,$39.00,
creamy mint leggings,N,sku_colorCodeDesc/parentCategory_displayName,,13,$0.00,
cyan blue scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,18,$0.00,
dark red scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,44,$872.15,
define jacket size 4,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,26,$394.00,
diamond dye silver blue tidewater,N,sku_colorGroup/sku_colorCodeDesc,,14,$0.00,
drysense training short sleeve shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,23,$195.00,
electric turquoise hotty hot,N,sku_colorCodeDesc/collections,,16,$0.00,
energy bra a,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$52.00,
everywhere black and gold,N,sku_colorGroup/sku_colorCodeDesc/collections/product_customAttribute4,,7,$0.00,
fast and free leggings 23,N,product_inseam/collections/product_customAttribute4/parentCategory_displayName,PatternReplaceFilter,31,$296.00,fast and free tights 23
fast and free shirt men,N,gender/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,15,$0.00,
fast and free t-shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$132.00,
gold and black belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$205.65,
heathered purple ash,N,sku_colorGroup/sku_colorCodeDesc,,26,$116.60,
hot ty hot high,N,sku_colorCodeDesc/collections/product_customAttribute4,EnglishMinimalStemFilter,19,$0.00,
hotty high shorts,N,collections/product_customAttribute4/parentCategory_displayName,,11,$57.80,
hotty hot short 2.5 lined,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,12,$0.00,
jackets size 20,N,sku_size/product_customAttribute4/parentCategory_displayName,,5,$0.00,
java wunder shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,4,$64.00,
leopard swiftly tech,N,sku_colorCodeDesc/collections,,16,$0.00,
everywhere belt bag black and gold,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,28,$480.50,
light blue swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,19,$0.00,
long align tank top,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$0.00,
love crew short sleeve t-shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,16,$135.00,
love crew women,N,product_customAttribute4/gender/sku_colorCodeDesc/collections/parentCategory_displayName,,14,$198.00,
lulu tennis skirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName/product_activity,EnglishMinimalStemFilter,15,$157.00,
lululemon logo leggings,N,sku_colorCodeDesc/collections/parentCategory_displayName,,16,$186.50,
magenta swiftly tech,N,sku_colorCodeDesc/collections,,19,$136.00,
define leggings,N,collections/parentCategory_displayName,,63,$196.00,define leg
meadowsweet pink define,N,sku_colorGroup/sku_colorCodeDesc/collections,,37,$797.00,
men button down shirt,Y,product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,19,$354.00,
men tennis shirt,Y,parentCategory_displayName/product_activity/product_customAttribute4/gender,EnglishMinimalStemFilter,24,$384.30,
gloves men,N,gender/parentCategory_displayName,,48,"$1,006.30",
navy golf shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,11,$166.00,
navy we made too much,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,15,$42.00,
neon green skirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$0.00,
java define,N,sku_colorCodeDesc/collections,,37,$580.00,
oversized long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,38,$619.25,
pink golf shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,13,$0.00,
pipe dream blue tank,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,16,$154.00,
pomegranate align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,16,$0.00,
lulu dance,N,sku_colorCodeDesc/collections/product_activity,,31,$273.10,
red merlot swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,15,$68.00,
teal swiftly,N,sku_colorCodeDesc/collections,,29,$194.00,
rose gold bag,N,sku_colorCodeDesc/sku_colorGroup_fr/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,16,$38.00,
crew sweat,N,collections/product_customAttribute4,,27,$354.00,
basic shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,26,$456.30,
classic f,N,sku_colorCodeDesc/sku_size,,26,$164.00,
scuba oversized f,N,collections/sku_size,,49,"$2,141.60",
tech pants,N,collections/product_customAttribute4/parentCategory_displayName,,26,$0.00,
scuba tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$232.00,
rulu high,N,sku_colorCodeDesc/collections/product_customAttribute4,,24,$503.00,
bone swiftly,N,sku_colorCodeDesc/collections,,23,$39.00,
soft jersey long sleeve shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,124,"$4,605.60",
sport b,Y,sku_colorCodeDesc/sku_size/parentCategory_displayName,EnglishMinimalStemFilter,23,$0.00,
align heather,Y,sku_colorCodeDesc/collections,PorterStemFilter,22,$646.80,
sonic pink long,N,sku_colorGroup/product_topsLength_s/sku_colorCodeDesc/parentCategory_displayName,,42,$224.00,lip gloss long
sonic pink shorts size 0,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,,10,$0.00,
sport bra pink,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$0.00,
trail tank,N,product_customAttribute4/parentCategory_displayName,,22,$637.00,
hair s,N,sku_size/product_customAttribute4/parentCategory_displayName,,21,$0.00,
sunny coral define jacket,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,18,$0.00,
"fast and free lined short 6""",N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,197,"$5,161.75",fast and free lined short 6
swift speed pocket leggings,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,20,$0.00,
swiftly shirt short sleeve,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,19,$68.00,
swiftly short sleeve tech,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,15,$272.00,
medium belt,N,sku_colorCodeDesc/product_customAttribute4,,20,$76.00,
"17"" tennis",N,product_inseam/product_activity,,19,$0.00,
blissful running,N,sku_colorCodeDesc/product_customAttribute4/product_activity,,19,$158.00,
tank top bras,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,14,$68.00,
maxi dress,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,19,$0.00,
swift high,N,collections/product_customAttribute4,,19,$423.00,
tie dye too,N,sku_colorCodeDesc/parentCategory_displayName,,11,$0.00,
dusty blue,N,sku_colorGroup/sku_colorCodeDesc,,18,$96.00,
train to be short shirt,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,19,$68.00,
pistachio pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,18,$249.00,
poolside long,N,product_topsLength_s/sku_colorCodeDesc/parentCategory_displayName,,18,$156.00,
zip pocket,N,sku_colorCodeDesc/product_customAttribute4,,18,$78.00,
utility blue le,N,sku_colorGroup/sku_colorCodeDesc,,16,$0.00,
velvet dust align tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,19,$66.00,
shirt long,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$194.00,
we made to much hotty,N,collections/parentCategory_displayName,,10,$0.00,
swiftly tech racerback tank top 20,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,255,"$5,027.10",
ebb racerback,N,collections/product_customAttribute4,,16,$0.00,
marble align,N,sku_colorCodeDesc/collections,,16,$275.00,
mint swift,N,sku_colorCodeDesc/collections,,16,$0.00,
all leggings,N,collections/parentCategory_displayName,,15,$79.00,
chambray tops,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,15,$44.00,
crew cropped,N,product_topsLength_s/product_customAttribute4,,15,$116.00,
cross bay,N,sku_colorCodeDesc/product_customAttribute4,,15,$152.00,
women 5 in shorts,N,product_inseam/product_customAttribute4/gender/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,12,$0.00,
women grey shirt,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,14,$68.00,
women leggings 25,Y,sku_size/product_inseam/parentCategory_displayName/gender,PatternReplaceFilter,13,$98.00,
mango hotty,N,sku_colorCodeDesc/collections,,12,$0.00,
leggings contour,N,sku_colorCodeDesc/parentCategory_displayName,,10,$69.00,
workout shirt women,Y,parentCategory_displayName/gender/product_customAttribute4/product_activity,EnglishMinimalStemFilter,17,$296.00,
