Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
fast and free 23,N,collections/product_customAttribute4/product_inseam,PatternReplaceFilter,847,"$15,623.00","fast and free 23"""
hot yoga mat,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,599,"$6,899.80",hot yoga mats
lulu leggings,N,sku_colorCodeDesc/parentCategory_displayName,,710,"$2,819.10",lulu leg
swift tech shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,667,"$3,733.60",swift tech shirts/swift tech top
white camo leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,671,$610.00,
hiking shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,601,"$5,045.10",
dance studio full,N,collections/sku_size/product_activity,,654,"$6,282.90",
loungeful pants,N,collections/product_customAttribute4/parentCategory_displayName,,581,"$1,052.15",
city pants,N,collections/product_customAttribute4/parentCategory_displayName,,636,"$8,433.79",
athletic dress,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,538,"$1,530.50",
swiftly tech we made to much,N,collections/parentCategory_displayName,,34,$0.00,
purple shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,689,"$3,245.15",
crop sweatshirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,720,"$9,394.65",
wunder train pocket,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,787,"$12,078.50",
lululemon scuba,N,sku_colorCodeDesc/collections/parentCategory_displayName,,874,"$6,788.30",
black and gold,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,900,"$9,281.60",
city sweat short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,637,"$5,852.80",
swiftly polo,N,collections/parentCategory_displayName,,680,"$4,963.15",
swiftly racerback,N,collections/product_customAttribute4,,670,"$6,776.95",
tank dress,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,530,"$4,051.70",tank dresses
city sweat pullover,N,collections/product_customAttribute4,,1128,"$27,460.25",
lululemon define,N,sku_colorCodeDesc/collections/parentCategory_displayName,,765,"$7,927.95",
swift speed 28,Y,collections/sku_size/product_inseam,PatternReplaceFilter,570,"$6,697.53",
tank top we made too much,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,34,$0.00,
full on luxtreme,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/sku_size,PorterStemFilter,454,$494.80,
fast and free run hat m,N,product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PorterStemFilter/EnglishMinimalStemFilter,28,$0.00,
we made too much ebb to street,N,collections/parentCategory_displayName,,28,$0.00,
neon green,N,sku_colorGroup/sku_colorCodeDesc,,545,"$1,234.00",
we made to much shorts,N,collections/product_customAttribute4/parentCategory_displayName,,345,$166.00,
midi dress,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,665,"$6,859.80",
run belt,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,908,"$5,860.70",
hot pink belt bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,740,"$1,991.80",hot pink belt bags
align 25 leggings,Y,parentCategory_displayName/collections/sku_size/product_inseam,PatternReplaceFilter,489,"$7,207.10",
crop 17,N,product_topsLength_s/product_inseam,PorterStemFilter/PatternReplaceFilter,346,"$1,866.45",
lulu belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,753,"$4,618.65",lulu belt bags
workout mat,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,773,"$10,990.45",yoga mat spray
size 2,N,product_inseam/sku_size,PatternReplaceFilter,632,"$3,109.80",
lip gloss shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,504,"$3,542.65",
