Left Term,Match Type,Entity,Original Line,Rewritten Line
silverescent,,,"silverescent => swiftly, metal vent tech","silverescent => silverescent, swiftly, metal vent tech"
burnt caramel,,,"burnt caramel => burnt caramel, copper brown","burnt caramel => burnt caramel, burnt caramel, copper brown"
high neck tank,,,"high neck tank => high neck tank, prod5020018,prod7030032, prod10520428, prod9750455, prod9980090, prod10020121, prod10120009, prod9600540, prod9780099, prod9820382, prod10030005, prod10680139, prod10760085","high neck tank => high neck tank, high neck tank, prod5020018, prod7030032, prod10520428, prod9750455, prod9980090, prod10020121, prod10120009, prod9600540, prod9780099, prod9820382, prod10030005, prod10680139, prod10760085"
high neck tanks,,,"high neck tanks =>  high neck tank, prod5020018,prod7030032, prod10520428, prod9750455, prod9980090, prod10020121, prod10120009, prod9600540, prod9780099, prod9820382, prod10030005, prod10680139, prod10760085","high neck tanks => high neck tanks, high neck tank, prod5020018, prod7030032, prod10520428, prod9750455, prod9980090, prod10020121, prod10120009, prod9600540, prod9780099, prod9820382, prod10030005, prod10680139, prod10760085"
align sale,,,"align sale => prod10642079, prod9490018, prod9980085, prod10470031, prod10120006, prod10642078, prod10550001, prod8360162, prod8840221, prod9770171, prod10550049, prod8840324, prod10520954, prod10520811","align sale => align sale, prod10642079, prod9490018, prod9980085, prod10470031, prod10120006, prod10642078, prod10550001, prod8360162, prod8840221, prod9770171, prod10550049, prod8840324, prod10520954, prod10520811"
align clearance,,,"align clearance => prod10642079, prod9490018, prod9980085, prod10470031, prod10120006, prod10642078, prod10550001, prod8360162, prod8840221, prod9770171, prod10550049, prod8840324, prod10520954, prod10520811","align clearance => align clearance, prod10642079, prod9490018, prod9980085, prod10470031, prod10120006, prod10642078, prod10550001, prod8360162, prod8840221, prod9770171, prod10550049, prod8840324, prod10520954, prod10520811"
dance studio full length,,,"dance studio full length => dance studio high rise pant, dance studio jogger","dance studio full length => dance studio full length, dance studio high rise pant, dance studio jogger"
swiftly sale,,,"swiftly sale => prod9900002, prod9940023, prod9940024, prod9910044, prod10300109, prod9820340, prod10060077, prod10300110, prod10650021, prod10680139","swiftly sale => swiftly sale, prod9900002, prod9940023, prod9940024, prod9910044, prod10300109, prod9820340, prod10060077, prod10300110, prod10650021, prod10680139"
happy hatha,,,"happy hatha => tote, yoga capris","happy hatha => happy hatha, tote, yoga capris"
high waist,,,high waist => high waisted,"high waist => high waist, high waisted"
blouse,,,"blouse => prod10520838, full day ahead short sleeve shirt, women button shirt","blouse => blouse, prod10520838, full day ahead short sleeve shirt, women button shirt"
blouses,,,"blouses => prod10520838, full day ahead short sleeve shirt, women button shirt","blouses => blouses, prod10520838, full day ahead short sleeve shirt, women button shirt"
tall skirt,,,"tall skirt => skirt long, skirt 15","tall skirt => tall skirt, skirt long, skirt 15"
twill pants,,,twill pants => twill pant,"twill pants => twill pants, twill pant"
outerwear,,,"outerwear => coat, jacket","outerwear => outerwear, coat, jacket"
spring jacket,,,spring jacket => spring coats and jackets,"spring jacket => spring jacket, spring coats and jackets"
hooded vest,,,"hooded vest => another mile vest, Around Vest, Sleet Street Vest","hooded vest => hooded vest, another mile vest, Around Vest, Sleet Street Vest"
dark purple,,,"dark purple => Grape Thistle, Denim Wash Print Dusky Lavender Black, petrol Purple, Water Surface Black Granite/Wisteria Purple","dark purple => dark purple, Grape Thistle, Denim Wash Print Dusky Lavender Black, petrol Purple, Water Surface Black Granite/Wisteria Purple"
cosmetic bag,,,"cosmetic bag => pouch, kit bag","cosmetic bag => cosmetic bag, pouch, kit bag"
winter hat,,,"winter hat => beanie, trapper hat, insulated hat","winter hat => winter hat, beanie, trapper hat, insulated hat"
winter hats,,,"winter hats => beanie, trapper hat, insulated hat","winter hats => winter hats, beanie, trapper hat, insulated hat"
thermal hats,,,"thermal hats => beanie, trapper hat, insulated hat","thermal hats => thermal hats, beanie, trapper hat, insulated hat"
fuschia,partial,sku_colorCodeDesc,fuschia => magenta,"fuschia => fuschia, magenta"
plush,,,plush => sherpa,"plush => plush, sherpa"
align 24,,,"align 24 => align 23, align 25","align 24 => align 24, align 23, align 25"
top,partial,parentCategory_displayName,top => shirt,"top => top, shirt"
studio sock,,,"studio sock => studio sock, find your balance sock, find your balance leg warmer","studio sock => studio sock, studio sock, find your balance sock, find your balance leg warmer"
studio socks,,,"studio socks => studio sock, find your balance sock, find your balance leg warmer","studio socks => studio socks, studio sock, find your balance sock, find your balance leg warmer"
studio,,,"studio => studio, find your balance sock, find your balance leg warmer","studio => studio, studio, find your balance sock, find your balance leg warmer"
warm jacket,,,"warm jacket => mid warmth, high warmth, full warmth","warm jacket => warm jacket, mid warmth, high warmth, full warmth"
sweater dress,,,"sweater dress => fleece dress, sweater dress","sweater dress => sweater dress, fleece dress, sweater dress"
