Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
abc classic 5 pocket,N,collections(5_abc)/sku_colorCodeDesc(classic_pocket)/product_customAttribute4(5_pocket)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),74,"$4,256.55"
align 23 in,N,collections(align_in)/product_inseam(23),PatternReplaceFilter(23),28,$380.15
align 25 navy,Y,collections(align)/sku_size(25)/product_inseam(25)/sku_colorGroup(navy)/sku_colorCodeDesc(navy),PatternReplaceFilter(25),27,$618.00
align high top,N,collections(align)/product_customAttribute4(high_top)/parentCategory_displayName(top),EnglishMinimalStemFilter(top),28,$299.95
align short java,Y,collections(align)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(java_short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),22,$212.30
black 28 leggings,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/sku_size(28)/product_inseam(28)/parentCategory_displayName(leggings),PatternReplaceFilter(28),25,$196.00
black full zip,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/sku_size(full)/product_customAttribute4(zip),,53,"$1,270.00"
black leggings 31,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/parentCategory_displayName(leggings)/sku_size(31)/product_inseam(31),PatternReplaceFilter(31),19,$294.00
black lululemon belt bag,N,sku_colorGroup(black)/sku_colorCodeDesc(black_lululemon)/collections(lululemon)/parentCategory_displayName(bag_lululemon)/product_customAttribute4(bag_belt),EnglishMinimalStemFilter(bag),48,$228.00
black running shirt,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_activity(running)/product_customAttribute4(running_shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),24,$244.00
blazer blue leggings,N,sku_colorCodeDesc(blazer_blue)/sku_colorGroup(blue)/parentCategory_displayName(leggings),,21,$0.00
bras size 0,N,parentCategory_displayName(bras)/product_customAttribute4(bras)/sku_size(0_size),,18,$0.00
bright green shorts,N,sku_colorCodeDesc(bright_green)/sku_colorGroup(green)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,19,$0.00
bright yellow tank top,N,sku_colorCodeDesc(bright_yellow)/sku_colorGroup(yellow)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),12,$29.00
bucket hat men,N,product_customAttribute4(bucket_hat)/parentCategory_displayName(hat)/gender(men),EnglishMinimalStemFilter(hat),27,$144.00
carbon dust pants,N,sku_colorCodeDesc(carbon_dust)/product_customAttribute4(pants)/parentCategory_displayName(pants),,17,$267.00
cargo pocket shorts,N,product_customAttribute4(cargo_pocket_shorts)/sku_colorCodeDesc(pocket)/parentCategory_displayName(shorts),,33,$319.50
we made too much speed up shorts,N,parentCategory_displayName(made_much_shorts_too_we)/collections(speed_up)/product_customAttribute4(shorts_up),,14,$176.00
classic commission pants,N,sku_colorCodeDesc(classic_commission)/collections(commission)/product_customAttribute4(pants)/parentCategory_displayName(pants),,12,$99.00
crop full zip,N,product_topsLength_s(crop)/sku_size(full)/product_customAttribute4(zip),PorterStemFilter(crop),32,$580.80
cropped rain jacket,N,product_topsLength_s(cropped)/product_customAttribute4(jacket_rain)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),17,$0.00
cyan blue hotty hot shorts,N,sku_colorCodeDesc(blue_cyan_hot)/sku_colorGroup(blue)/collections(hot_hotty)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,12,$0.00
cyan hotty hot,N,sku_colorCodeDesc(cyan_hot)/collections(hot_hotty),,15,$0.00
dance studio c,N,collections(dance_studio)/product_activity(dance)/sku_size(c),,24,$0.00
define jacket in black,N,collections(define_in)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_colorGroup(black)/sku_colorCodeDesc(black),EnglishMinimalStemFilter(jacket),23,$590.00
define jacket white opal,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_colorGroup(white)/sku_colorCodeDesc(opal_white),EnglishMinimalStemFilter(jacket),25,$151.30
electric lemon scuba,N,sku_colorCodeDesc(electric_lemon)/collections(scuba),,18,$198.00
electric yellow shorts,N,sku_colorCodeDesc(electric_yellow)/sku_colorGroup(yellow)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,18,$93.00
fast and free belt bag,N,collections(fast_free)/product_customAttribute4(and_bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),42,$298.30
fast and free capris,N,collections(fast_free)/product_customAttribute4(and)/parentCategory_displayName(capris),,18,$305.00
full zip oversized,N,sku_size(full)/product_customAttribute4(zip)/collections(oversized),,24,$148.00
full zip oversized scuba,N,sku_size(full)/product_customAttribute4(zip)/collections(oversized_scuba),,35,$601.60
fundamental long sleeve shirt,N,collections(fundamental)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),109,"$3,449.70"
grey swiftly tech shirt,N,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/collections(swiftly_tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),28,$68.00
grey tech shirt,Y,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/collections(tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),22,$0.00
heather grey hotty hot,Y,sku_colorCodeDesc(grey_heather_hot)/sku_colorGroup(grey)/collections(hot_hotty),PorterStemFilter(heather),19,$49.00
hotty hot 5,N,collections(5_hot_hotty)/sku_colorCodeDesc(hot)/product_customAttribute4(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),24,$204.00
hotty hot lined short,N,collections(hot_hotty)/sku_colorCodeDesc(hot_lined_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),38,$876.80
hotty hot mango,N,collections(hot_hotty)/sku_colorCodeDesc(hot_mango),,28,$190.65
hotty hot shorts camo,N,collections(hot_hotty)/sku_colorCodeDesc(camo_hot)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,28,$0.00
icing blue sports bra,N,sku_colorCodeDesc(blue_icing)/sku_colorGroup(blue)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),9,$0.00
instill cross strap tank top,N,collections(instill)/product_customAttribute4(cross_strap_top)/sku_colorCodeDesc(cross)/parentCategory_displayName(tank_top),EnglishMinimalStemFilter(strap_top),26,$270.00
kelly green align leggings,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/collections(align)/parentCategory_displayName(leggings),,30,$364.65
kelly green like a cloud,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/collections(a_cloud_like)/sku_size(a),,18,$54.00
kelly green multi,N,sku_colorCodeDesc(green_kelly_multi)/sku_colorGroup(green),,14,$332.95
kelly green tennis,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/product_activity(tennis),,17,$68.00
leggings black 25,Y,parentCategory_displayName(leggings)/sku_colorGroup(black)/sku_colorCodeDesc(black)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),16,$147.00
lined pace breaker,N,sku_colorCodeDesc(lined_pace)/collections(breaker_pace),,33,$447.05
long shorts women,N,product_topsLength_s(long)/parentCategory_displayName(long_shorts_women)/product_customAttribute4(shorts)/gender(women),,20,$0.00
lulu lemon skirt,N,sku_colorCodeDesc(lemon_lulu)/parentCategory_displayName(skirt)/product_customAttribute4(skirt),EnglishMinimalStemFilter(skirt),24,$201.00
lululemon fundamental tank,N,collections(fundamental_lululemon)/parentCategory_displayName(lululemon_tank)/sku_colorCodeDesc(lululemon),,35,$787.20
lululemon made to much,N,collections(lululemon_to)/parentCategory_displayName(lululemon_made_much)/sku_colorCodeDesc(lululemon),,6,$0.00
marble grey dye leggings,N,sku_colorCodeDesc(dye_grey_marble)/sku_colorGroup(grey)/parentCategory_displayName(leggings),,14,$0.00
meadowsweet belt bag,N,sku_colorCodeDesc(meadowsweet)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),28,$0.00
tight zip,N,collections(tight)/parentCategory_displayName(tight)/product_customAttribute4(zip),EnglishMinimalStemFilter(tight),43,$236.00
mint green leggings,N,sku_colorCodeDesc(green_mint)/sku_colorGroup(green)/parentCategory_displayName(leggings),,24,$98.00
peach tank top,N,sku_colorCodeDesc(peach)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),16,$68.00
peony pink leggings,N,sku_colorCodeDesc(peony_pink)/sku_colorGroup(pink)/parentCategory_displayName(leggings),,21,$107.65
pink belt b,N,sku_colorCodeDesc(pink)/sku_colorGroup(pink)/product_customAttribute4(belt)/sku_size(b),,29,$298.30
pitch blue short,N,sku_colorCodeDesc(blue_pitch_short)/sku_colorGroup(blue)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),30,$114.00
powder blue long sleeve,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,16,$136.00
swiftly run,Y,collections(run_swiftly)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),32,$268.30
altered state,N,sku_colorCodeDesc(altered)/collections(state),,31,$719.60
cross leggings,N,product_customAttribute4(cross)/sku_colorCodeDesc(cross)/parentCategory_displayName(leggings),,31,$0.00
radiate foil print red merlot,N,sku_colorCodeDesc(foil_merlot_print_radiate_red)/sku_colorGroup(print_red),PorterStemFilter(print),25,$285.00
red wunder puff,N,sku_colorGroup(red)/sku_colorCodeDesc(puff_red)/collections(puff_wunder),,25,$566.00
run hotty shorts,Y,collections(hotty_run)/product_activity(run)/product_customAttribute4(run_shorts)/parentCategory_displayName(shorts),PorterStemFilter(run),9,$136.00
down and,N,parentCategory_displayName(down)/product_customAttribute4(and),,26,$79.00
pink lulu,N,sku_colorCodeDesc(lulu_pink)/sku_colorGroup(pink),,26,$0.00
scuba twilight rose,N,collections(scuba)/sku_colorCodeDesc(rose_twilight)/sku_colorGroup_fr(rose),,8,$0.00
athletic tank,N,product_customAttribute4(athletic)/parentCategory_displayName(tank),,25,$0.00
shirt sleeve polo,N,product_customAttribute4(shirt)/parentCategory_displayName(polo_shirt_sleeve),EnglishMinimalStemFilter(shirt),7,$169.00
lined 7,N,sku_colorCodeDesc(lined)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),24,$176.00
shorts size 18,N,product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(18_size)/product_inseam(18),PatternReplaceFilter(18),16,$402.00
run up,Y,collections(run_up)/product_activity(run)/product_customAttribute4(run_up),PorterStemFilter(run),24,$68.00
cargo tights,N,product_customAttribute4(cargo)/parentCategory_displayName(tights),,22,$178.00
gold black,N,sku_colorCodeDesc(black_gold)/sku_colorGroup(black),,22,$317.10
sport bra long,N,sku_colorCodeDesc(sport)/parentCategory_displayName(bra_long_sport)/product_customAttribute4(bra)/product_topsLength_s(long),EnglishMinimalStemFilter(bra_sport),6,$0.00
pocket tight,N,product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/collections(tight)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),22,$808.00
sweatshirt full zip,N,product_customAttribute4(sweatshirt_zip)/parentCategory_displayName(sweatshirt)/sku_size(full),EnglishMinimalStemFilter(sweatshirt),23,$502.00
swiftly tech shirt blue,N,collections(swiftly_tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt)/sku_colorGroup(blue)/sku_colorCodeDesc(blue),EnglishMinimalStemFilter(shirt),24,$108.00
swiftly too short sleeve,N,collections(swiftly)/parentCategory_displayName(short_sleeve_too)/product_topsLength_s(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),18,$0.00
fly pants,N,collections(fly)/product_customAttribute4(pants)/parentCategory_displayName(pants),,19,$0.00
tennis too,N,product_activity(tennis)/parentCategory_displayName(too),,19,$0.00
tidal teal shirt,Y,sku_colorCodeDesc(teal_tidal)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),17,$0.00
backpacks men,N,product_customAttribute4(backpacks)/gender(men),,18,$0.00
trail running shorts,N,product_customAttribute4(running_shorts_trail)/product_activity(running)/parentCategory_displayName(shorts),,26,$512.00
ebb to street short sleeve shirt,Y,collections(ebb_street_to)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),70,$742.00
blue too,N,sku_colorGroup(blue)/sku_colorCodeDesc(blue)/parentCategory_displayName(too),,15,$0.00
women 5 shorts,Y,gender(women)/parentCategory_displayName(shorts_women)/product_customAttribute4(5_shorts)/collections(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),22,$408.00
women pocket leggings,N,gender(women)/parentCategory_displayName(leggings_women)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,19,$434.00
wunder train 4 in,N,collections(in_train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_size(4)/product_inseam(4),PorterStemFilter(train)/PatternReplaceFilter(4),20,$64.00
wunder train magenta,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(magenta),PorterStemFilter(train),21,$127.40
wunder train shorts pocket,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(pocket_shorts_train)/parentCategory_displayName(shorts)/sku_colorCodeDesc(pocket),PorterStemFilter(train),18,$74.00
yellow sport bra,Y,sku_colorGroup(yellow)/sku_colorCodeDesc(sport_yellow)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),13,$107.00
yoga shirt men,Y,product_activity(yoga)/product_customAttribute4(shirt_yoga)/parentCategory_displayName(shirt_yoga)/gender(men),EnglishMinimalStemFilter(shirt),18,$377.00
align black 25,Y,collections(align)/sku_colorGroup(black)/sku_colorCodeDesc(black)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),39,"$1,514.10"
align bra a,N,collections(a_align)/parentCategory_displayName(bra)/product_customAttribute4(bra)/sku_size(a),EnglishMinimalStemFilter(bra),22,$81.20
align made too much,N,collections(align)/parentCategory_displayName(made_much_too),,21,$152.25
align pocket 23,N,collections(align)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/product_inseam(23),PatternReplaceFilter(23),26,$236.00
align tank faded zap,N,collections(align)/parentCategory_displayName(tank)/sku_colorCodeDesc(faded_zap),,25,$304.65
align tank hot pink,N,collections(align_hot)/parentCategory_displayName(tank)/sku_colorCodeDesc(hot_pink)/sku_colorGroup(pink),,24,$0.00
at ease short 5,N,collections(5_at_ease)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(5_short)/sku_size(5)/product_inseam(5),EnglishMinimalStemFilter(short)/PatternReplaceFilter(5),24,$0.00
black align shirt,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(align)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),23,$125.80
black camouflage shorts,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/sku_colorGroup_fr(camouflage)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,9,$0.00
classic belt bag,N,sku_colorCodeDesc(classic)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),28,$76.00
ebb to street bone,N,collections(ebb_street_to)/sku_colorCodeDesc(bone),,25,$101.80
free to wild bra,N,collections(free_to)/sku_colorCodeDesc(wild)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),25,$144.00
full zip s,N,sku_size(full_s)/product_customAttribute4(zip),,28,$493.70
grey sage belt,N,sku_colorGroup(grey)/sku_colorCodeDesc(grey_sage)/product_customAttribute4(belt),,27,$458.00
hot heat shirt,Y,sku_colorCodeDesc(heat_hot)/collections(hot)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),39,$503.00
